Method,Scope 3 category,Method variant,Equation (canonical),Activity data required (fields),EF/parameters required (factor keys),Calculation steps,Spec status
Cat 9 — Downstream transportation — Fuel-based,Cat 9 — Downstream transport & distribution,Fuel-based,"Emissions = Σ(fuel_litres × EF_fuel)
+ Σ(electricity_kWh × EF_grid)
+ Σ(refrigerant_leakage_kg × GWP_refrigerant)

If fuel data unavailable:
Fuel_from_spend = fuel_spend / avg_fuel_price
Fuel_from_distance = Σ(distance_km × fuel_efficiency_l_per_km)

Allocated fuel use = total_fuel_consumed × (mass/volume_company_goods / mass/volume_goods_transported)
(Optional) backhaul emissions = Σ(fuel_backhaul × EF_fuel)","• Quantities of fuel consumed (litres) and fuel type; OR fuel spend + avg fuel price; OR distance travelled + fuel efficiency
• Amount of refrigerant leakage (kg)
If applicable: distance travelled, average fuel efficiency, mass of goods in vehicle (tonnes), refrigerated transport flag","• Fuel emission factors (kg CO2e/litre)
• Electricity grid factors (kg CO2e/kWh) (if EV)
• Refrigerant leakage factors / GWP (kg CO2e/kg)
• Average fuel price ($/litre) (if deriving)","1) Collect/derive fuel litres.
2) Compute total emissions from fuel + electricity + refrigerant leakage.
3) Allocate emissions to reporting company goods by mass/volume share.
4) Optionally include backhaul.
5) Sum across legs.",Draft
Cat 9 — Downstream transportation — Spend-based,Cat 9 — Downstream transport & distribution,Spend-based (EEIO),Σ (spend_on_transportation_by_type × EEIO_EF_transport (kg CO2e/$)),"• Amount spent on transportation by type ($)
• Inflation data where applicable",• EEIO / cradle-to-gate EF per $ for transportation type (kg CO2e/$),"1) Collect spend by transport type.
2) Normalize spend to EF base year if required.
3) Multiply spend × EF and sum.",Draft
Cat 10 — Processing of sold products — Average-data,Cat 10 — Processing of sold products,Average-data,Σ (mass of sold intermediate product (kg) × EF_processing (kg CO2e/kg of final product)),"• For each sold intermediate product type:
  - processes involved downstream to transform into usable final product
  - info needed for allocation (mass, economic value, etc.)","Either:
• Average emission factors for downstream processes (kg CO2e per kg of final product)
OR
• Life cycle emission factors of sold products and final products (to derive processing component)","1) Identify downstream processing route(s) per intermediate product.
2) Select EF_processing for the route.
3) Multiply mass sold × EF_processing.
4) Apply allocation if required.
5) Sum across intermediate products.",Draft
Cat 10 — Processing of sold products — Site-specific,Cat 10 — Processing of sold products,Site-specific,"Σ(fuel_consumed × EF_fuel_lifecycle)
+ Σ(electricity_consumed × EF_electricity_lifecycle)
+ Σ(refrigerant_leakage × GWP)
+ Σ(process emissions)
+ (where possible) Σ(waste_output_mass × EF_waste)","• Types and quantities of intermediate goods sold
Downstream data (either):
• Site-specific GHG emissions data from downstream partners, OR
• Site-specific activity data: quantities of electricity and fuels consumed; mass of waste generated; activity data for process/fugitive emissions","If site-specific activity data collected:
• Emission factors for fuels
• Emission factors for electricity
• (where possible) emission factors for waste outputs
• emission factors for process/fugitive emissions (if applicable)
If partner provides emissions directly: none needed (but record method).","1) Collect intermediate products sold.
2) Collect downstream partner emissions or activity data.
3) If activity data: multiply each activity by its EF (fuel, electricity, refrigerants, waste) and add process emissions.
4) Sum across downstream sites/processes.",Draft
Cat 11 — Use of sold products — Direct use-phase (products that consume energy),Cat 11 — Use of sold products,Other,"Σ (lifetime_expected_uses × number_sold × fuel_per_use_kWh × EF_fuel (kg CO2e/kWh))
+
Σ (lifetime_expected_uses × number_sold × electricity_per_use_kWh × EF_electricity (kg CO2e/kWh))
+
Σ (lifetime_expected_uses × number_sold × refrigerant_leakage_per_use_kg × GWP_refrigerant (kg CO2e/kg))","• Total lifetime expected uses of product(s)
• Quantities of products sold
• Fuel used per use of product (kWh)
• Electricity consumption per use of product (kWh)
• Refrigerant leakage per use of product (kg)","• Emission factors for fuels (kg CO2e/kWh)
• Emission factors for electricity (kg CO2e/kWh)
• Emission factors / GWPs for refrigerants (kg CO2e/kg)","1) For each product group, define lifetime expected uses and units sold.
2) For each energy source, compute lifetime energy = lifetime_uses × units_sold × energy_per_use.
3) Multiply lifetime energy by the appropriate EF for fuel/electricity.
4) Compute refrigerant emissions = lifetime_uses × units_sold × leak_per_use × GWP.
5) Sum fuel + electricity + refrigerant components across products.",Draft
Cat 11 — Use of sold products — Fuels and feed-stocks (combustion),Cat 11 — Use of sold products,Fuel-based,"Σ (total_quantity_fuel_or_feedstock_sold (e.g., kWh) × combustion_EF_fuel_or_feedstock (kg CO2e/kWh))",• Total quantities of fuels/feedstocks sold (by fuel type),"• Combustion emission factors of fuel/feedstock (kg CO2e per unit, e.g., kg CO2e/kWh)","1) Collect quantities of fuels/feedstocks sold by type.
2) Select combustion EF per fuel/feedstock.
3) Multiply quantity × EF.
4) Sum across fuels/feedstocks.",Draft
Cat 11 — Use of sold products — GHGs contained/emitted during use,Cat 11 — Use of sold products,Other,"For each product or product group:
Use-phase emissions = (GHG_contained_per_product × number_sold × %released_over_lifetime × GWP_GHG)
Then total = Σ(use-phase emissions across products/groups)
Note: if %released unknown, assume 100%.","• Total quantities of products sold
• Quantity of GHG contained per product
• % of GHG released over product lifetime (if unknown, assume 100%)",• GWP of the GHG contained in product (kg CO2e per kg GHG),"1) For each product/group, capture number sold and GHG mass contained per unit.
2) Determine fraction released over lifetime (or assume 1.0).
3) Multiply contained mass × units × fraction released × GWP.
4) Sum across products/groups.",Draft
Cat 11 — Use of sold products — Indirect use-phase (scenario-weighted),Cat 11 — Use of sold products,Other,"Σ_scenarios( lifetime_uses × scenario_share × number_sold × fuel_per_use_in_scenario × EF_fuel )
+
Σ_scenarios( lifetime_uses × scenario_share × number_sold × electricity_per_use_in_scenario × EF_electricity )
+
Σ_scenarios( lifetime_uses × scenario_share × number_sold × refrigerant_leak_per_use_in_scenario × EF_refrigerant_or_GWP )
+
Σ_scenarios( lifetime_uses × scenario_share × number_sold × indirect_GHG_emitted_kg × GWP_GHG )","• Average number of uses over lifetime of product
• Use-phase scenarios and weights (% of lifetime uses)
• Fuel/electricity consumption per use in each scenario
• Refrigerant leakage per use in each scenario
• Indirect GHGs emitted in each scenario (kg)","• Combustion / electricity emission factors (kg CO2e per kWh)
• Refrigerant EF/GWP
• GWP of indirect GHGs","1) Define scenarios and weights summing to 1.0.
2) For each scenario, compute lifetime uses × scenario share × units sold.
3) Multiply by per-use energy and relevant EFs for fuels/electricity.
4) Add refrigerant + indirect GHG components.
5) Sum across scenarios.",Draft
Cat 11 — Use of sold products — Intermediate products (direct energy consuming final products),Cat 11 — Use of sold products,Other,Σ (intermediate_products_sold × lifetime_uses_final_product × emissions_per_use_of_sold_intermediate_product (kg CO2e/use)),"• Type(s) of final product(s) produced from reporting company’s intermediate product(s)
• % of intermediate product sales going to each final product type
• Activity data needed to calculate use-phase emissions of final product (same as direct/indirect use-phase methods)","• Depending on final product type, emission factors required are the same as other Cat 11 use-phase methods (fuels, electricity, refrigerants, GWPs).","1) Identify final product types and allocation shares for intermediate products.
2) For each final product type, estimate lifetime uses and emissions per use attributable to the intermediate product.
3) Multiply intermediate products sold × lifetime uses × emissions per use.
4) Sum across final product types (weighted by shares).",Draft
Cat 12 — End-of-life of sold products — Waste-treatment mix (waste-type-specific),Cat 12 — End-of-life of sold products,Average-data,Σ (total_mass_sold_products_and_packaging_end_of_life_kg × %treated_by_method × EF_treatment_method (kg CO2e/kg)),"• Total mass of sold products and packaging from point of sale to end-of-life after consumer use (kg), including packaging to point of retail and any packaging disposed prior to end-of-life of final product
• Proportion of this waste treated by different methods (% landfilled/incinerated/recycled/etc.)",• Average waste treatment-specific emission factors based upon all waste disposal types (kg CO2e/kg),"1) Estimate total mass of sold products + packaging that becomes waste at end-of-life.
2) Determine disposal/treatment shares by method.
3) Select EF per treatment method (kg CO2e/kg).
4) Multiply mass × share × EF for each method.
5) Sum across treatment methods.",Draft
Cat 13 — Downstream leased assets — Asset-specific,Cat 13 — Downstream leased assets,Site-specific,"For each leased asset:
Scope1_asset = Σ(fuel_liters × EF_fuel) + Σ(refrigerant_leakage_kg × EF_refrigerant) + process_emissions
Scope2_asset = Σ(electricity/steam/heating/cooling_kWh × EF_energy)
Total = Σ (Scope1_asset + Scope2_asset)

If leased building not sub-metered:
Energy_use_leased_space = (reporting_company_area_m2 / building_total_area_m2) × building_occupancy_rate × building_total_energy_use_kWh","• Asset-specific fuel use; electricity/steam/heating/cooling use; process and fugitive emissions (refrigerant leakage), OR asset-specific Scope 1 and Scope 2 emissions data
• (Non-submetered buildings) reporting company area, building total area, occupancy rate, building total energy use","• Site/region-specific EFs for fuels and electricity/steam/heating/cooling (kg CO2e/liter; kg CO2e/kWh)
• EFs for fugitive/process emissions (incl. refrigerant GWPs)","1) For each downstream leased asset, compute Scope 1 from fuel + refrigerants + process.
2) Compute Scope 2 from purchased electricity/steam/heating/cooling.
3) Sum Scope 1+2 per asset and across assets.
4) If not sub-metered, allocate building energy from area share × occupancy × building total energy, then compute emissions.",Draft
Cat 13 — Downstream leased assets — Average-data,Cat 13 — Downstream leased assets,Average-data,"Buildings: Σ (floor_space_by_building_type_m2 × EF_building_type (kg CO2e/m2/year))
Other assets / no floor space: Σ (asset_count_by_type × EF_asset_type (kg CO2e/asset/year))","• Floor space of each leased asset
• Number of leased assets by building type; and/or
• Number of leased assets that give rise to Scope 2 emissions (e.g., company cars, trucks, etc.)","• Average emission factors by floor space (kg CO2e/m2/year)
• Average emission factors by building type (kg CO2e/building/year)
• Emission factors by asset type (kg CO2e/asset/year)","1) Apply floor-space EFs to leased buildings (if area data exists).
2) Apply per-asset EFs to non-building assets / where area missing.
3) Sum totals.",Draft
Cat 13 — Downstream leased assets — Lessee-specific,Cat 13 — Downstream leased assets,Site-specific,"For each lessee:
Scope1_lessee = Σ(fuel_liters × EF_fuel) + Σ(refrigerant_leakage_kg × EF_refrigerant) + process_emissions
Scope2_lessee = Σ(electricity/steam/heating/cooling_kWh × EF_energy)
Allocated lessee emissions = (leased_asset_metric / total_lessee_asset_metric) × (Scope1_lessee + Scope2_lessee)
Total = Σ allocated lessee emissions","• Lessee fuel use, electricity use, process emissions and fugitive emissions (refrigerant leakage), OR lessee Scope 1 and Scope 2 emissions data
• Physical/financial allocation data: leased asset metric (area/volume/quantity) and total lessee asset metric","• Site/region-specific EFs for energy sources (kg CO2e/kWh; kg CO2e/liter)
• EFs for fugitive/process emissions","1) Compute Scope 1+2 for each lessee (or accept lessee-reported S1+S2).
2) Allocate lessee emissions to leased assets using leased metric / total lessee assets.
3) Sum allocated emissions across lessees.",Draft
Cat 14 — Franchises — Average-data,Cat 14 — Franchises,Average-data,"Leased buildings (floor space available): Σ (floor_space_by_building_type_m2 × EF_building_type (kg CO2e/m2/year))
Other assets / no floor space: Σ (asset_or_building_count × avg_emissions_per_asset_type (kg CO2e/asset/year))","• Floor space of each franchise (by building type) OR number of franchises by building type
• Number of franchise assets that give rise to Scope 2 emissions (e.g., company cars, trucks)","• Average emission factors by floor space (kg CO2e/m2/year)
• Average emission factors by building type (kg CO2e/building/year)
• Emission factors by asset type (kg CO2e/asset/year)","1) Apply floor-space EFs where area data exists.
2) Apply per-building/per-asset average EFs where only counts exist.
3) Sum across franchises/assets.",Draft
Cat 14 — Franchises — Franchise-specific,Cat 14 — Franchises,Site-specific,"Σ (scope 1 emissions + scope 2 emissions of each franchise)

If buildings not sub-metered:
Energy_use_franchise_kWh = (franchise_area_m2 / building_total_area_m2) × building_occupancy_rate × building_total_energy_use_kWh","Either:
• Scope 1 and Scope 2 emissions data from franchisees, OR
• Site-specific fuel use, electricity use, and other process/fugitive emissions activity data
If not sub-metered:
• franchise area; building total area; building occupancy rate; building total energy use","If collecting fuel/energy data:
• Site/region-specific EFs for electricity and fuels (kg CO2e/kWh; kg CO2e/liter)
• EFs for process emissions (e.g., refrigeration/air conditioning; refrigerant GWPs)
If franchise provides emissions directly: none needed.","1) Collect franchise Scope 1+2 emissions (preferred).
2) If only energy/activity data: compute fuel + electricity + fugitive/process emissions using EFs.
3) If not sub-metered, allocate building energy by area share × occupancy × total energy.
4) Sum across franchises.",Draft
"Cat 15 — Investments — Average-data (equity investments, EEIO)",Cat 15 — Investments,Spend-based (EEIO),Σ ( (investee_revenue_$ × EF_sector (kg CO2e/$ revenue)) × equity_share_fraction ),"• Sector(s) investee operates in
• Investee revenue (by sector if multi-sector)
• Investor equity share (%)",• EEIO emission factors for relevant sectors (kg CO2e/$ revenue),"1) Map investee revenue to EEIO sector(s).
2) Multiply revenue × sector EF.
3) Multiply by equity share.
4) Sum across investees (and sectors).",Draft
"Cat 15 — Investments — Average-data (project finance / debt with known use, annual)",Cat 15 — Investments,Spend-based (EEIO),"Construction phase: Σ ( (construction_cost_$ × EF_construction_sector (kg CO2e/$)) × share_total_costs )
Operational phase: Σ ( (project_revenue_$ × EF_operating_sector (kg CO2e/$)) × share_total_costs )","• Project construction cost in reporting year (if construction phase) OR project revenue in reporting year (if operational phase)
• Investor proportional share of total project costs (equity + debt)","• EEIO emission factors for relevant construction sector (kg CO2e/$)
• EEIO emission factors for relevant operating sector (kg CO2e/$)","1) Determine phase (construction vs operational).
2) Multiply cost or revenue by sector EF.
3) Multiply by investor share of total project costs.
4) Sum across projects.",Draft
Cat 15 — Investments — Investment-specific (equity investments),Cat 15 — Investments,Site-specific,Σ (scope 1 and scope 2 emissions of equity investment × equity_share_fraction),"• Scope 1 and Scope 2 emissions of investee company
• Investor’s proportional share of equity in the investee
• If significant: investee Scope 3 emissions (or estimate via average-data method)",• None (reporting company collects emissions data from investees),"1) Collect investee Scope 1+2 emissions for reporting year.
2) Determine equity share (%).
3) Multiply emissions × equity share.
4) Sum across equity investments.",Draft
"Cat 15 — Investments — Project-specific (project finance / debt with known use, annual)",Cat 15 — Investments,Site-specific,Σ (project_scope1+2_emissions_in_year × share_of_total_project_costs_fraction),"• Scope 1 and 2 emissions that occur in reporting year for relevant projects
• Investor proportional share of total project costs (equity + debt)",• None (collect emissions data from investees/projects),"1) Collect project Scope 1+2 emissions for reporting year.
2) Determine investor share of total project costs.
3) Multiply emissions × share.
4) Sum across projects.",Draft
Cat 15 — Investments — Project-specific (projected lifetime),Cat 15 — Investments,Other,Σ ( (projected_annual_emissions × projected_lifetime_years) × share_of_total_project_costs_fraction ),"• Expected average annual emissions of project
• Expected lifetime of project
• Investor share of total project costs (%)
• Assumptions on operation (e.g., capacity factor, heat rate, fuel carbon content) as applicable","• None if projected annual emissions are provided/derived separately; otherwise depends on project type (e.g., fuel carbon content, heat rate)","1) Estimate projected annual emissions (project-specific engineering assumptions as needed).
2) Multiply by projected lifetime (years).
3) Multiply by investor share of total project costs.
4) Sum across projects.",Draft
