Process,Scope,Scope 3 category,Module,Activity modes supported,Required inputs (minimal),Implementation status,Method variant,Formula / method reference,Notes,Optional inputs (improve match),Outputs,Line items
S3 Cat 5 — Waste generated in operations (supplier-specific / waste contractor emissions),Scope 3,Cat 5 — Waste generated in operations,other,Other,"• Reporting year
• Allocated scope 1+2 emissions provided by waste treatment contractor for the reporting company's waste",Not implemented,Supplier-specific,"Scope 3 Technical Guidance — Cat 5 supplier-specific:
Emissions = ∑(allocated contractor scope 1+2 emissions)",No EFs needed if contractor provides computed emissions; verify boundary and allocation.,"• Allocation basis + method documentation
• Contractor verification status
• Waste stream coverage (which sites/streams included)","• Total kg/t CO2e from contractor-reported data
• Audit trace (allocation + provenance)",
S3 Cat 6 — Business travel (distance-based passenger-km + hotels),Scope 3,Cat 6 — Business travel,other,"Distance-based, Other","• Reporting year
• Travel distance by mode (passenger-km) or trip distance (km) + number of passengers
• Mode/vehicle class (air/rail/bus/car)
• Hotel nights (optional)
• EFs per passenger-km by mode; EF per hotel night (if included)",Not implemented,Distance-based,"Scope 3 Technical Guidance — Cat 6 distance-based:
Emissions = ∑(passenger_km × EF_mode) + ∑(hotel_nights × EF_hotel_night)","Prefer distance-based when trip distance and mode available. If only spend, use spend-based EEIO (can be added later).","• Class of travel (economy/business)
• Radiative forcing factor policy for air travel
• Country-specific rail/road factors
• Include rental car fuel-based data if available","• kg CO2e by travel mode + hotels
• Total Cat 6 emissions
• EF references + audit trace",
S3 Cat 5 — Waste generated in operations (waste-type-specific),Scope 3,Cat 5 — Waste generated in operations,waste_landfill,"Mass-based, Other","• Reporting year
• Waste mass by waste type (tonnes or kg)
• Treatment method per waste type (landfill/incineration/recycling/compost/etc.)
• EF by (waste type × treatment method) (kg CO2e/tonne or kg)",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 5 waste-type-specific:
Emissions = ∑(waste_mass × EF_waste_type,treatment)",Most accurate when waste streams and treatments are known.,"• Include transport-to-treatment in EF (and disclose)
• Regional treatment-specific factors
• Moisture content / DOC for landfill models (if using model-based EFs)","• kg CO2e by waste type and treatment
• Total Cat 5 emissions
• EF references + audit trace",
S3 Cat 5 — Waste generated in operations (average-data by treatment mix),Scope 3,Cat 5 — Waste generated in operations,waste_landfill,Mass-based,"• Reporting year
• Total waste mass (tonnes)
• Treatment shares (% landfill/incineration/recycling/etc.)
• EF per treatment method (kg CO2e/tonne)",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 5 average-data:
Emissions = ∑(total_waste_mass × share_treatment × EF_treatment)",Use when waste types are unknown but disposal mix is known.,"• Waste composition breakdown (if available)
• Geography-specific waste pathway factors
• Separate hazardous vs non-hazardous streams","• kg CO2e by treatment method
• Total Cat 5 emissions
• Assumptions log",
S3 Cat 6 — Business travel (fuel-based / energy-based),Scope 3,Cat 6 — Business travel,other,"Energy-based, Other, Volume-based","• Reporting year
• Fuel consumed (litres by fuel type) and/or electricity consumed (kWh) for travel modes (where available)
• Refrigerant leakage (if applicable)
• Hotel nights (optional)",Not implemented,Fuel-based,"Scope 3 Technical Guidance — Cat 6 fuel-based:
Emissions = ∑(fuel litres × EF_fuel) + ∑(electricity kWh × EF_grid) + ∑(refrigerant leak × GWP) + ∑(hotel_nights × EF_hotel)","Use when actual fuel/energy data is available (e.g., company fleet for business travel).","• Allocate shared travel emissions (carpool, charter)
• Fuel spend + avg fuel price to estimate litres (if needed)
• Distance + fuel efficiency to estimate litres (if needed)","• kg CO2e by fuel/electricity/hotel
• Total Cat 6 emissions
• Audit trace of any fuel estimation steps",
S3 Cat 7 — Employee commuting (distance-based),Scope 3,Cat 7 — Employee commuting,other,"Distance-based, Other","• Reporting year
• Employee commuting distance (one-way km)
• Working days per year
• Mode split (car/bus/rail/metro/etc.) or mode per employee/sample
• EF per passenger-km by mode",Not implemented,Distance-based,"Scope 3 Technical Guidance — Cat 7 distance-based:
Total distance by mode = ∑(one_way_km × 2 × commuting_days)
Emissions = ∑(distance_by_mode × EF_mode)
(Optional) add teleworking energy emissions if included.","If full employee-level data not feasible, use stratified sampling and extrapolate.","• Sampling design (Appendix A)
• Car occupancy / carpool rates
• Remote work days + home energy adders (optional)
• Country-specific factors per mode","• kg CO2e by mode
• Total Cat 7 emissions
• Sampling/extrapolation trace (if used)",
S3 Cat 7 — Employee commuting (average-data),Scope 3,Cat 7 — Employee commuting,other,Other,"• Reporting year
• Total employees
• Avg one-way commute distance (km)
• Working days per year
• Mode split (% by mode)
• EF per passenger-km by mode",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 7 average-data:
Emissions = ∑(employees × %mode × one_way_km × 2 × working_days × EF_mode)",Use when only aggregate HR + survey stats exist.,"• Separate by site/city
• Separate by employee group (shift/office)
• Country-specific EFs","• kg CO2e by mode
• Total Cat 7 emissions
• Assumptions log",
S3 Cat 2 — Capital goods (hybrid: supplier S1+S2 + materials + transport + waste),Scope 3,Cat 2 — Capital goods,other,"Distance-based, Mass-based, Other","• Reporting year
• Allocated supplier scope 1+2 emissions for the capital good
• Material inputs quantities (kg)
• Material EFs (kg CO2e/kg)
• Incoming transport (tonne-km) + mode EFs
• Waste outputs + waste EFs (where available)",Not implemented,Hybrid,"Scope 3 Technical Guidance — Cat 2 hybrid mirrors Cat 1 hybrid structure:
Emissions = supplier_scope1+2_allocated + ∑(materials×EF) + ∑(transport×EF) + ∑(waste×EF) + other",Report in year of acquisition; do not amortize.,"• Allocation rules where supplier produces multiple assets
• Boundary confirmation (exclude supplier→company transport if accounted elsewhere)
• Data quality scores","• kg CO2e by capital good and by component
• Audit trace",
S3 Cat 1 — Purchased goods & services (hybrid: supplier S1+S2 + materials + transport + waste),Scope 3,Cat 1 — Purchased goods & services,other,"Distance-based, Mass-based, Other","• Reporting year
• Allocated supplier scope 1+2 emissions for the purchased good/service
• Bill of materials / material inputs quantities (kg)
• Material cradle-to-gate EFs (kg CO2e/kg)
• Incoming transport distances (km) + masses (tonnes) + mode EFs (kg CO2e/tonne-km)
• Waste outputs at supplier (kg) + waste EFs (kg CO2e/kg)",Not implemented,Hybrid,"Scope 3 Technical Guidance — Cat 1 hybrid:
Emissions = supplier_scope1+2_allocated
+ ∑(materials × EF_material)
+ ∑(inbound transport tonne-km × EF_mode)
+ ∑(waste × EF_waste)
+ other relevant emissions as applicable","Use when partial supplier data exists (e.g., S1+S2) but material and other upstream components must be added. Avoid double counting with Cat 4 (supplier→company transport) by defining boundary clearly.","• Supplier process energy data instead of emissions
• Allocation rules for multi-product suppliers
• Boundary confirmation (exclude supplier→company transport if already in Cat 4)
• Data quality score per component","• kg CO2e total and by component (supplier S1+S2, materials, inbound transport, waste)
• Audit trace + allocation notes",
S3 Cat 7 — Employee commuting (fuel-based),Scope 3,Cat 7 — Employee commuting,other,"Energy-based, Other, Volume-based","• Reporting year
• Fuel consumed for commuting (litres) and/or electricity (kWh) where available (e.g., company shuttle, employer-provided transport)
• Fuel/electricity EFs",Not implemented,Fuel-based,"Scope 3 Technical Guidance — Cat 7 fuel-based:
Emissions = ∑(fuel litres × EF_fuel) + ∑(electricity kWh × EF_elec) + ∑(refrigerant leak × GWP if applicable)","Less common than distance-based; use when actual fuel/energy data exists (e.g., employer-run transport).","• If fuel not known: commute distance + fuel efficiency to infer litres
• Sampling design
• Car occupancy / pooling rates","• kg CO2e commuting emissions
• Audit trace of any estimations",
S3 Cat 3D — Generation of purchased electricity/steam/heat/cooling sold to end users,Scope 3,Cat 3 — Fuel- & energy-related (not in S1/S2),purchased_electricity,Energy-based,"• Reporting year
• Quantity of energy purchased for resale (kWh) by source/grid
• Life cycle EF for the origin of purchased power (kg CO2e/kWh) OR generation-unit emissions data",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 3D:
Emissions = ∑(energy purchased for resale (kWh) × life cycle EF (kg CO2e/kWh))",Applies where company purchases energy and sells to end users (downstream). Ensure not double counted with Scope 2 reporting.,"• Supplier/generation-unit-specific emission data
• Distinguish market-based instruments
• Boundary note: include lifecycle vs generation-only and disclose","• kg CO2e for energy purchased for resale
• Breakdown by energy type/grid
• EF references + assumptions",
S3 Cat 6 — Business travel (spend-based EEIO),Scope 3,Cat 6 — Business travel,other,Other,"• Reporting year
• Spend on travel by category ($) (air, rail, hotels, taxis, etc.)
• EEIO EF per category (kg CO2e/$)",Not implemented,Spend-based (EEIO),"Scope 3 Technical Guidance — Cat 6 spend-based:
Emissions = ∑(spend × EEIO EF)",Use when distance/fuel data unavailable; coarse method.,"• Inflation/exchange-rate normalization
• Region-specific EEIO dataset
• Map travel management system categories to EEIO sectors","• kg CO2e by spend category
• Total Cat 6 emissions
• Assumptions log",
